id,name,slug,created_at,updated_at
690,Jewellery,jewellery,NULL,NULL
691,Cosmetics Kit,cosmetics-kit,NULL,NULL
692,Eyes,eyes,NULL,NULL
693,Face,face,NULL,NULL
694,Lips,lips,NULL,NULL
695,Nails,nails,NULL,NULL
696,Eau De Perfum,eau-de-perfum,NULL,NULL
697,Mist & Spray,mist-&-spray,NULL,NULL
698,Haircare,haircare,NULL,NULL
699,Skincare,skincare,NULL,NULL
700,Infants,infants,NULL,NULL
701,Pajama,pajama,NULL,NULL
702,Pre-Teens,pre-teens,NULL,NULL
703,Teens,teens,NULL,NULL
704,Toddlers,toddlers,NULL,NULL
705,Beach Wear,beach-wear,NULL,NULL
706,Body,body,NULL,NULL
707,Bottoms,bottoms,NULL,NULL
708,Outwear,outwear,NULL,NULL
709,Plus Size,plus-size,NULL,NULL
710,Shirt,shirt,NULL,NULL
711,Sportswear,sportswear,NULL,NULL
712,T-Shirts,t-shirts,NULL,NULL
713,Clothing Set,clothing-set,NULL,NULL
714,Dresses,dresses,NULL,NULL
715,Jumpsuits,jumpsuits,NULL,NULL
716,Maternity,maternity,NULL,NULL
717,Tops,tops,NULL,NULL
718,Casual Shoes,casual-shoes,NULL,NULL
719,Sandals,sandals,NULL,NULL
720,Shoe Care,shoe-care,NULL,NULL
721,Sports Shoes,sports-shoes,NULL,NULL
722,Boots,boots,NULL,NULL
723,Formal Shoes,formal-shoes,NULL,NULL
724,Slippers,slippers,NULL,NULL
725,Flats,flats,NULL,NULL
726,Heels,heels,NULL,NULL
727,Wedges,wedges,NULL,NULL
728,Free Item Gift,free-item-gift,NULL,NULL
729,Hand Accessories,hand-accessories,NULL,NULL
730,Hair Accessories,hair-accessories,NULL,NULL
731,School,school,NULL,NULL
732,Baby Products,baby-products,NULL,NULL
733,Bags,bags,NULL,NULL
734,Belts,belts,NULL,NULL
735,Eye wear,eye-wear,NULL,NULL
736,Scarves,scarves,NULL,NULL
737,Technology,technology,NULL,NULL
738,Luggage,luggage,NULL,NULL
739,Suit Accessories,suit-accessories,NULL,NULL
740,Head Accessories,head-accessories,NULL,NULL
741,Beauty Accessories,beauty-accessories,NULL,NULL
742,Jewellery,jewellery,NULL,NULL
743,Cosmetics Kit,cosmetics-kit,NULL,NULL
744,Eyes,eyes,NULL,NULL
745,Face,face,NULL,NULL
746,Lips,lips,NULL,NULL
747,Nails,nails,NULL,NULL
748,Eau De Perfum,eau-de-perfum,NULL,NULL
749,Mist & Spray,mist-&-spray,NULL,NULL
750,Haircare,haircare,NULL,NULL
751,Skincare,skincare,NULL,NULL
752,Infants,infants,NULL,NULL
753,Pajama,pajama,NULL,NULL
754,Pre-Teens,pre-teens,NULL,NULL
755,Teens,teens,NULL,NULL
756,Toddlers,toddlers,NULL,NULL
757,Beach Wear,beach-wear,NULL,NULL
758,Body,body,NULL,NULL
759,Bottoms,bottoms,NULL,NULL
760,Outwear,outwear,NULL,NULL
761,Plus Size,plus-size,NULL,NULL
762,Shirt,shirt,NULL,NULL
763,Sportswear,sportswear,NULL,NULL
764,T-Shirts,t-shirts,NULL,NULL
765,Clothing Set,clothing-set,NULL,NULL
766,Dresses,dresses,NULL,NULL
767,Jumpsuits,jumpsuits,NULL,NULL
768,Maternity,maternity,NULL,NULL
769,Tops,tops,NULL,NULL
770,Casual Shoes,casual-shoes,NULL,NULL
771,Sandals,sandals,NULL,NULL
772,Shoe Care,shoe-care,NULL,NULL
773,Sports Shoes,sports-shoes,NULL,NULL
774,Boots,boots,NULL,NULL
775,Formal Shoes,formal-shoes,NULL,NULL
776,Slippers,slippers,NULL,NULL
777,Flats,flats,NULL,NULL
778,Heels,heels,NULL,NULL
779,Wedges,wedges,NULL,NULL
780,Free Item Gift,free-item-gift,NULL,NULL
781,Hand Accessories,hand-accessories,NULL,NULL
782,Hair Accessories,hair-accessories,NULL,NULL
783,School,school,NULL,NULL
784,Baby Products,baby-products,NULL,NULL
